feature,selection_frequency
mean_asym,1.0
asym_stance,1.0
std_asym,1.0
cv_swing_R,1.0
asym_swing,1.0
cv_stance_L,0.8
cv_swing_L,0.6
asym_auc_steps,0.6
ratio_auc_L_over_R,0.4
auc_R,0.4
cv_stance_R,0.2
mean_stance_R,0.2
n_steps_L_seg,0.2
mean_R,0.2
diff_auc,0.2
mean_stance_L,0.2
n_steps_R_seg,0.2
mean_swing_R,0.2
mean_L,0.0
mean_interval_L,0.0
cadence_spm,0.0
auc_L,0.0
mean_abs_diff,0.0
peak_L,0.0
peak_R,0.0
std_L,0.0
std_R,0.0
n_steps,0.0
diff_peak,0.0
mean_swing_L,0.0
cv_interval_L,0.0
mean_interval_R,0.0
cv_interval_R,0.0
