feature,importance_mean,importance_std
mean_stance_L,0.05476190476190479,0.01859583256168249
mean_asym,0.04999999999999999,0.0290632276565088
n_steps_L_seg,0.04761904761904763,0.02129588549999797
diff_auc,0.045238095238095265,0.019777675864090644
n_steps_R_seg,0.04523809523809526,0.022461859838229993
cv_swing_R,0.03333333333333334,0.03563483225498991
asym_auc_steps,0.030952380952380974,0.02619047619047619
asym_stance,0.030952380952380964,0.03846546290810359
asym_swing,0.02619047619047621,0.03757079485252263
cv_swing_L,0.021428571428571453,0.012821820969367882
cv_stance_R,0.01904761904761907,0.01781741612749498
mean_stance_R,0.016666666666666684,0.01859583256168253
mean_abs_diff,0.009523809523809535,0.015793451382644777
n_steps,0.0047619047619047675,0.009523809523809535
mean_swing_L,0.0023809523809523838,0.012821820969367882
cv_interval_L,0.0023809523809523838,0.0071428571428571504
cv_stance_L,0.0,0.03367175148507369
std_asym,-0.004761904761904756,0.03333333333333335
mean_swing_R,-0.0047619047619047675,0.020756661635907996
