model,fold,Accuracy,Balanced_Acc,F1-Score,ROC-AUC
RF,1,0.7272727272727273,0.706766917293233,0.7208869179600886,0.7932330827067668
RF,2,0.8484848484848485,0.8402255639097744,0.847621514288181,0.8703007518796992
RF,3,0.8181818181818182,0.8139097744360901,0.8181818181818182,0.8233082706766917
RF,4,0.6666666666666666,0.65,0.6536585365853659,0.6851851851851851
RF,5,0.7272727272727273,0.7222222222222222,0.7262560366008641,0.837037037037037
GradBoost,1,0.7272727272727273,0.6973684210526316,0.7134846952844931,0.8157894736842105
GradBoost,2,0.6666666666666666,0.6447368421052632,0.6588617886178861,0.7406015037593985
GradBoost,3,0.7575757575757576,0.7518796992481203,0.7575757575757576,0.7781954887218046
GradBoost,4,0.6363636363636364,0.6277777777777778,0.632946001367054,0.7185185185185184
GradBoost,5,0.6666666666666666,0.6611111111111111,0.6654240447343895,0.8444444444444444
LogReg,1,0.6666666666666666,0.6635338345864662,0.6679092885989438,0.7894736842105263
LogReg,2,0.8181818181818182,0.8045112781954887,0.8157342657342657,0.8984962406015038
LogReg,3,0.7272727272727273,0.7349624060150376,0.7287808965228321,0.8157894736842106
LogReg,4,0.7575757575757576,0.7555555555555555,0.7575757575757576,0.7444444444444445
LogReg,5,0.7272727272727273,0.7222222222222222,0.7262560366008641,0.8333333333333333
LinearSVC,1,0.6666666666666666,0.6635338345864662,0.6679092885989438,0.7406015037593985
LinearSVC,2,0.8181818181818182,0.8139097744360901,0.8181818181818182,0.8796992481203008
LinearSVC,3,0.7575757575757576,0.7612781954887218,0.7589225589225589,0.8270676691729323
LinearSVC,4,0.7575757575757576,0.7555555555555555,0.7575757575757576,0.7407407407407408
LinearSVC,5,0.7575757575757576,0.75,0.7552973342447027,0.8407407407407407
SVC-RBF,1,0.7575757575757576,0.7518796992481203,0.7575757575757576,0.8082706766917294
SVC-RBF,2,0.7878787878787878,0.7781954887218046,0.7866701200034533,0.868421052631579
SVC-RBF,3,0.7575757575757576,0.7518796992481203,0.7575757575757576,0.8157894736842105
SVC-RBF,4,0.696969696969697,0.6944444444444444,0.696969696969697,0.7518518518518518
SVC-RBF,5,0.7575757575757576,0.7555555555555555,0.7575757575757576,0.8111111111111111
XGBoost,1,0.696969696969697,0.6710526315789473,0.6861471861471862,0.7744360902255639
XGBoost,2,0.7272727272727273,0.706766917293233,0.7208869179600886,0.8082706766917293
XGBoost,3,0.6666666666666666,0.6635338345864662,0.6679092885989438,0.7481203007518796
XGBoost,4,0.6363636363636364,0.6222222222222222,0.6265734265734265,0.6259259259259259
XGBoost,5,0.7272727272727273,0.7222222222222222,0.7262560366008641,0.837037037037037
